data;
param n:= 10;# / * the number of course * /
param t:= 20;# / * the number of time point * /
param m:= 2;# / * the maximum number of choosed course * /

param occupy: 1  2  3  4  5  6  7  8  9 10:=
   1  0  1  0  0  0  0  0  0  0  0
     2  0  1  0  0  0  0  0  0  0  1
	   3  0  1  0  0  0  0  1  0  0  1
	     4  0  1  0  0  1  0  1  0  0  1
		   5  0  0  0  0  1  0  1  0  0  1
		     6  0  0  0  1  1  0  1  0  0  1
			   7  0  0  0  1  1  0  1  1  0  1
			     8  0  0  0  1  1  1  1  1  0  1
				   9  0  0  0  1  1  1  1  1  1  1
				    10  0  0  0  1  1  1  1  1  0  1
					 11  0  0  0  1  1  1  0  1  0  1
					  12  1  0  0  1  1  1  0  1  0  1
					   13  1  0  0  1  0  1  0  1  0  1
					    14  1  0  1  1  0  1  0  1  0  1
						 15  1  0  1  1  0  0  0  1  0  1
						  16  1  0  0  1  0  0  0  1  0  1
						   17  1  0  0  0  0  0  0  1  0  1
						    18  0  0  0  0  0  0  0  1  0  1
							 19  0  0  0  0  0  0  0  0  0  1
							  20  0  0  0  0  0  0  0  0  0  0;
							  end;
